09 36 01,7933 -21 39 54,2282 9,44181 0,34 GJ357
09 36 01,7933 -21 39 54,2282 9,44181 0,34 GJ357
10 58 34,4059 -31 08 39,6179 20,3779 0,43 GJ3634
09 44 29,1532 -45 46 44,4594 9,41263 0,46 GJ367
13 22 56,0511 +24 27 50,1930 13,743 0,28 GJ3779
15 58 18,6193 +35 24 29,2108 15,8095 0,32 GJ3929
15 58 18,6193 +35 24 29,2108 15,8095 0,32 GJ3929
10 28 54,9301 +00 50 16,2546 7,03149 0,43 GJ393
16 09 03,4939 +52 56 38,9195 16,9287 0,61 GJ3942
17 16 00,4954 +11 03 22,2304 18,1459 0,49 GJ3998
17 16 00,4954 +11 03 22,2304 18,1459 0,49 GJ3998
11 03 20,2751 +35 58 20,3412 5,675773 0,37 GJ411
11 11 05,8832 +30 26 42,6077 11,8893 0,68 GJ414A
11 11 05,8832 +30 26 42,6077 11,8893 0,68 GJ414A
11 15 55,4531 -57 32 33,2264 12,6631 0,37 GJ422
22 25 17,3191 +59 24 45,0108 21,3362 0,41 GJ4276
11 35 26,8628 -32 32 37,0687 9,06456 0,5 GJ433
11 35 26,8628 -32 32 37,0687 9,06456 0,47 GJ433
11 35 26,8628 -32 32 37,0687 9,06456 0,47 GJ433
11 42 12,1309 +26 42 11,0408 9,75321 0,46 GJ436
12 38 51,2238 +11 41 42,2549 14,2358 0,46 GJ480
12 47 55,5698 +09 44 57,9052 8,07426 0,33 GJ486
13 16 46,1660 +09 25 29,9212 17,5299 1,26 GJ504
13 30 00,9727 +10 22 21,1393 7,61778 0,5 GJ514
14 01 02,3370 -02 39 08,2444 10,4092 0,5 GJ536
15 19 25,5563 -07 43 21,6966 6,2981 0,33 GJ581
15 19 25,5563 -07 43 21,6966 6,2981 0,33 GJ581
15 19 25,5563 -07 43 21,6966 6,2981 0,33 GJ581
16 25 25,3916 +54 18 12,1050 6,47249 0,31 GJ625
16 58 08,7205 +25 44 31,0988 10,3796 0,5 GJ649
17 19 00,2579 -34 59 51,9544 7,24396  GJ667C
17 19 00,2579 -34 59 51,9544 7,24396  GJ667C
17 19 00,2579 -34 59 51,9544 7,24396  GJ667C
17 19 00,2579 -34 59 51,9544 7,24396  GJ667C
17 19 00,2579 -34 59 51,9544 7,24396  GJ667C
17 28 40,8147 -46 53 56,3374 4,54896 0,36 GJ674
17 30 10,7770 -51 38 15,9997 16,0272 0,69 GJ676A
17 30 10,7770 -51 38 15,9997 16,0272 0,65 GJ676A
17 30 10,7770 -51 38 15,9997 16,0272 0,65 GJ676A
17 30 10,7770 -51 38 15,9997 16,0272 0,65 GJ676A
17 35 13,7364 -48 40 43,8337 9,67315 0,46 GJ680
17 37 02,6492 -44 19 23,7068 5,00671 0,3 GJ682
17 37 02,6492 -44 19 23,7068 5,00671 0,3 GJ682
17 35 35,0524 +61 40 45,6535 14,3155 0,54 GJ685
17 36 25,0048 +68 20 01,2268 4,54939 0,42 GJ687
17 36 25,0048 +68 20 01,2268 4,54939 0,42 GJ687
18 35 19,0636 +45 44 44,1737 15,5575 0,56 GJ720A
18 57 59,9358 +05 54 10,3212 11,1017 0,56 GJ740
21 33 33,9068 -49 00 45,0608 4,96435 0,44 GJ832
22 09 41,5227 -04 38 26,9941 8,80058 0,47 GJ849
22 09 41,5227 -04 38 26,9941 8,80058 0,47 GJ849
02 10 29,3952 -50 49 15,5802 10,7836 0,77 GJ86
22 53 17,7580 -14 15 59,7449 4,67517 0,3 GJ876
22 53 17,7580 -14 15 59,7449 4,67517 0,3 GJ876
22 53 17,7580 -14 15 59,7449 4,67517 0,3 GJ876
22 53 17,7580 -14 15 59,7449 4,67517 0,3 GJ876
23 05 52,0429 -35 51 11,0495 3,29 0,47 GJ887
23 05 52,0429 -35 51 11,0495 3,29 0,47 GJ887
23 31 52,8136 +19 56 13,2040 6,26022 0,39 GJ896A
02 00 14,1197 +13 02 39,5419 4,471 0,16 GJ9066
02 22 14,9772 +47 52 48,7470 11,9315 0,58 GJ96
21 01 39,4064 -32 31 30,0101 20,5121 0,66 GJ9714
23 27 05,2307 -01 17 07,2366 29,661 0,6 GJ9827
23 27 05,2307 -01 17 07,2366 29,661 0,6 GJ9827
23 27 05,2307 -01 17 07,2366 29,661 0,6 GJ9827
10 02 20,7742 +48 04 56,8254 14,9545 0,56 Gl378
01 02 40,4959 +62 20 43,5790 9,8528 0,51 Gl49
17 37 54,3604 +18 35 45,4232 8,15728 0,43 Gl686
11 45 42,0997 +02 49 15,5683 29,3386 0,82 HD102195
11 46 28,9943 -40 29 55,0360 9,2894 0,95 HD102365
11 58 11,5116 -23 55 26,8396 26,4997 0,75 HD103949
11 59 10,1673 -20 21 20,1809 20,3632 0,74 HD104067
01 42 29,6049 -53 44 28,6267 17,3357 1,1 HD10647
12 48 51,8317 -68 25 28,8044 28,9571 0,9 HD111232
12 48 51,8317 -68 25 28,8044 28,9571 0,9 HD111232
13 04 56,1464 -52 26 46,8607 16,2817 0,53 HD113538
13 04 56,1464 -52 26 46,8607 16,2817 0,53 HD113538
13 10 39,6535 -35 03 22,2505 27,9243 0,76 HD114386
13 12 02,6867 -37 48 10,1650 20,2836 2,14 HD114613
13 12 43,6449 -02 15 53,9716 21,0628 0,84 HD114783
13 12 43,6449 -02 15 53,9716 21,0628 0,84 HD114783
13 16 51,7415 +17 00 57,7382 10,9816 0,73 HD115404A
13 16 51,7415 +17 00 57,7382 10,9816 0,73 HD115404A
14 21 22,4265 -40 23 39,2795 28,1989 0,74 HD125595
14 30 44,3678 +35 27 16,5812 22,5279 0,74 HD127506
14 36 00,7777 +09 44 43,5725 16,3292 0,76 HD128311
14 36 00,7777 +09 44 43,5725 16,3292 0,76 HD128311
14 37 04,8698 -25 48 11,4221 26,1548 0,85 HD128356
15 10 44,3449 -61 25 20,5489 24,0125 1,16 HD134060
15 10 44,3449 -61 25 20,5489 24,0125 1,16 HD134060
15 13 28,2124 -25 18 34,8196 26,1804 1,22 HD134987
15 13 28,2124 -25 18 34,8196 26,1804 1,25 HD134987
15 21 45,6304 -48 19 07,7426 14,682 1,06 HD136352
15 21 45,6304 -48 19 07,7426 14,682 1,06 HD136352
15 21 45,6304 -48 19 07,7426 14,682 1,06 HD136352
02 12 42,7374 -53 44 37,5328 28,2305 0,78 HD13808
02 12 42,7374 -53 44 37,5328 28,2305 0,78 HD13808
15 47 28,5597 -37 55 02,0399 15,2528 0,95 HD140901
15 47 28,5597 -37 55 02,0399 15,2528 0,95 HD140901
15 46 26,3839 +07 21 09,9662 11,8148 1,39 HD141004
00 06 20,0825 -49 04 31,3050 26,1853 1,41 HD142
00 06 20,0825 -49 04 31,3050 26,1853 1,47 HD142
00 06 20,0825 -49 04 31,3050 26,1853 1,47 HD142
16 10 24,5074 +43 48 58,9036 17,9323 1 14Her
00 18 42,3035 -08 03 13,0342 23,4534 1,15 HD1461
00 18 42,3035 -08 03 13,0342 23,4534 1,15 HD1461
16 16 41,4195 +67 14 21,1348 10,7643 0,63 HD147379
16 24 01,3925 -39 11 34,6780 12,9032 0,98 HD147513
16 37 08,5276 +00 15 16,8458 20,2727 0,89 HD149806
16 31 18,1396 +79 47 21,8515 28,2697 0,96 HD150706
16 57 52,9596 +47 22 04,2809 17,9412 0,75 HD153557
16 57 52,9596 +47 22 04,2809 17,9412 0,75 HD153557
16 57 52,9596 +47 22 04,2809 17,9412 0,75 HD153557
17 04 27,9443 -28 35 01,8031 18,2692 0,95 HD154088
17 02 36,5941 +47 05 07,9958 18,284 0,85 HD154345
17 22 08,7399 -75 20 57,2604 27,561 1,02 HD155918
17 22 08,7399 -75 20 57,2604 27,561 1,02 HD155918
17 17 40,4070 +29 13 41,3796 24,3323 0,72 HD156668
17 17 40,4070 +29 13 41,3796 24,3323 0,77 HD156668
17 25 23,9036 +52 47 25,6996 27,0498 1,21 HD158259
17 25 23,9036 +52 47 25,6996 27,0498 1,21 HD158259
17 25 23,9036 +52 47 25,6996 27,0498 1,21 HD158259
17 25 23,9036 +52 47 25,6996 27,0498 1,21 HD158259
17 25 23,9036 +52 47 25,6996 27,0498 1,21 HD158259
17 44 08,6814 -51 50 05,5504 15,5981 1,33 HD160691
17 44 08,6814 -51 50 05,5504 15,5981 1,33 HD160691
17 44 08,6814 -51 50 05,5504 15,5981 1,33 HD160691
17 44 08,6814 -51 50 05,5504 15,5981 1,33 HD160691
02 36 58,5852 -34 34 44,7258 25,3936 1,64 HD16417
18 00 38,7327 +29 34 21,6113 28,254 1,02 HD164595
18 02 31,3150 +26 18 37,4677 22,0016 0,95 HD164922
18 02 31,3150 +26 18 37,4677 22,0016 0,95 HD164922
18 02 31,3150 +26 18 37,4677 22,0016 0,95 HD164922
18 02 31,3150 +26 18 37,4677 22,0016 1 HD164922
18 15 32,3535 +45 12 31,7624 23,3032 1,21 HD168009
19 03 05,7429 -11 02 41,7876 27,7843 0,78 HD176986
19 03 05,7429 -11 02 41,7876 27,7843 0,78 HD176986
19 06 52,2225 -37 48 44,0618 16,9179 0,97 HD177565
19 15 33,3680 -24 10 47,2580 27,4573 1,27 HD179949
19 16 54,6593 +05 09 47,3814 5,91059 0,48 HD180617
02 55 39,3665 +26 52 20,5784 22,5243 0,87 HD18143
02 55 39,3665 +26 52 20,5784 22,5243 0,87 HD18143
19 25 08,9732 -66 28 04,0217 26,8762 0,79 HD181433
19 25 08,9732 -66 28 04,0217 26,8762 0,81 HD181433
19 25 08,9732 -66 28 04,0217 26,8762 0,81 HD181433
20 05 35,0346 -67 19 25,6771 17,9055 1,04 HD189567
20 05 35,0346 -67 19 25,6771 17,9055 1,04 HD189567
20 00 43,7131 +22 42 35,1932 19,7638 0,75 HD189733
20 02 46,9559 +03 19 36,1171 12,7141 0,79 HD190007
20 03 38,2232 +29 53 40,3476 16,0069 1,14 HD190360
20 03 38,2232 +29 53 40,3476 16,0069 1,17 HD190360
20 13 59,7845 +00 51 56,7266 19,6359 0,74 HD192263
20 15 18,8369 -27 02 01,5202 8,79687 0,86 HD192310
20 15 18,8369 -27 02 01,5202 8,79687 0,81 HD192310
21 09 22,6991 -82 01 38,9734 24,3056 0,92 HD199509
03 12 46,6372 -01 11 47,0238 22,5242 1,8 HD19994
21 32 23,2052 -20 57 28,6452 28,7165 0,78 HD204941
21 40 48,3989 +84 20 01,5407 28,2938 0,78 HD207897
03 19 59,9446 -43 03 59,9519 6,00278 0,92 HD20794
03 19 59,9446 -43 03 59,9519 6,00278 0,92 HD20794
