06 54 48,0613 +33 15 59,2675 5,58057 0,36 GJ251
00 39 59,5205 -44 15 15,0044 23,6062 0,52 GJ27,1
07 27 24,5032 +05 13 32,9052 5,921535 0,29 GJ273
07 27 24,5032 +05 13 32,9052 5,921535 0,29 GJ273
00 16 15,2238 -79 51 05,1185 17,5559 0,9 GJ3021
01 14 34,3784 -53 56 26,7904 16,6186 0,47 GJ3082
01 21 45,2230 -46 42 53,0042 22,4751 0,52 GJ3090
02 09 11,4576 -16 20 21,2982 28,4712 0,5 GJ3138
02 09 11,4576 -16 20 21,2982 28,4712 0,5 GJ3138
02 09 11,4576 -16 20 21,2982 28,4712 0,5 GJ3138
08 40 58,6877 -23 27 10,1124 15,1968 0,43 GJ317
08 40 58,6877 -23 27 10,1124 15,1968 0,43 GJ317
03 23 35,3398 -40 04 34,4370 18,23817 0,93 GJ3222
08 55 07,6698 +01 32 31,2040 20,5266 0,65 GJ328
04 28 35,6270 -25 10 16,8226 20,1903 0,4 GJ3293
04 28 35,6270 -25 10 16,8226 20,1903 0,4 GJ3293
04 28 35,6270 -25 10 16,8226 20,1903 0,4 GJ3293
04 28 35,6270 -25 10 16,8226 20,1903 0,4 GJ3293
05 01 56,8527 -06 56 54,6479 5,37484 0,12 GJ3323
05 01 56,8527 -06 56 54,6479 5,37484 0,12 GJ3323
05 15 47,3149 -31 17 41,4449 23,619 0,44 GJ3341
09 14 22,0031 +52 41 00,6760 6,33256 0,58 GJ338B
07 59 05,6420 +15 23 28,3524 29,4214 0,55 GJ3470
08 02 22,4671 +03 20 13,7864 27,3644 0,36 GJ3473
08 02 22,4671 +03 20 13,7864 27,3644 0,36 GJ3473
08 41 19,6004 +59 29 30,6110 9,48637 0,14 GJ3512
08 41 19,6004 +59 29 30,6110 9,48637 0,14 GJ3512
09 36 01,7933 -21 39 54,2282 9,44181 0,34 GJ357
09 36 01,7933 -21 39 54,2282 9,44181 0,34 GJ357
09 36 01,7933 -21 39 54,2282 9,44181 0,34 GJ357
10 58 34,4059 -31 08 39,6179 20,3779 0,43 GJ3634
09 44 29,1532 -45 46 44,4594 9,41263 0,46 GJ367
13 22 56,0511 +24 27 50,1930 13,743 0,28 GJ3779
15 58 18,6193 +35 24 29,2108 15,8095 0,32 GJ3929
15 58 18,6193 +35 24 29,2108 15,8095 0,32 GJ3929
10 28 54,9301 +00 50 16,2546 7,03149 0,43 GJ393
16 09 03,4939 +52 56 38,9195 16,9287 0,61 GJ3942
17 16 00,4954 +11 03 22,2304 18,1459 0,49 GJ3998
17 16 00,4954 +11 03 22,2304 18,1459 0,49 GJ3998
11 03 20,2751 +35 58 20,3412 5,675773 0,37 GJ411
11 11 05,8832 +30 26 42,6077 11,8893 0,68 GJ414A
11 11 05,8832 +30 26 42,6077 11,8893 0,68 GJ414A
11 15 55,4531 -57 32 33,2264 12,6631 0,37 GJ422
22 25 17,3191 +59 24 45,0108 21,3362 0,41 GJ4276
11 35 26,8628 -32 32 37,0687 9,06456 0,5 GJ433
